"table","dataset","model","mode","old_paper_reference","new_paper_reference","old_difference","new_difference","paper_source","status"
"Table 4","ptbxl_sub","ECG-FM","Frozen","0.912","0.912","","-0.0052018149099905","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_super","ECGFounder","Frozen","0.928","0.928","","-5.84229466208E-05","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_super","ECG-JEPA","Frozen","0.917","0.917","","0.001862323024819","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_super","ST-MEM","Frozen","0.923","0.923","","-0.0046137408658874","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_super","MERL","Frozen","0.915","0.915","","-0.0014404552878357","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_super","ECGFM-KED","Frozen","0.865","0.865","","0.0436709460592648","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_super","HuBERT-ECG","Frozen","0.892","0.892","","-0.0010653336617751","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_super","ECG-CPC","Frozen","0.919","0.919","","-0.0008863467052866","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 4","ptbxl_super","ECG-FM","Frozen","0.877","0.877","","0.0053790082234277","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_all","ECGFounder","Linear","0.931","0.931","","-0.000141685962677","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_all","ECG-JEPA","Linear","0.928","0.928","","0.000294591305743","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_all","ST-MEM","Linear","0.908","0.908","","0.0009388437415884","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_all","MERL","Linear","0.883","0.883","","0.0030215708330912","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_all","ECGFM-KED","Linear","0.706","0.706","","-0.017368343510284","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_all","HuBERT-ECG","Linear","0.867","0.867","","-0.0018020635665137","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_all","ECG-CPC","Linear","0.904","0.904","","-0.0304409826966468","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_all","ECG-FM","Linear","0.841","0.841","","0.0114638303812679","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_sub","ECGFounder","Linear","0.945","0.945","","-0.0012910283570711","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_sub","ECG-JEPA","Linear","0.916","0.916","","-0.0013805060243039","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_sub","ST-MEM","Linear","0.916","0.916","","-0.0011663608744329","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_sub","MERL","Linear","0.895","0.895","","-0.0025909857988446","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_sub","ECGFM-KED","Linear","0.734","0.734","","0.1334198274876407","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_sub","HuBERT-ECG","Linear","0.898","0.898","","-0.0021855098733733","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_sub","ECG-CPC","Linear","0.886","0.886","","0.0001611568482203","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_sub","ECG-FM","Linear","0.866","0.866","","0.0129245176521392","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_super","ECGFounder","Linear","0.924","0.924","","0.0005959899745847","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_super","ECG-JEPA","Linear","0.911","0.911","","-0.000146682362091","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_super","ST-MEM","Linear","0.896","0.896","","-0.0004523936619811","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_super","MERL","Linear","0.887","0.887","","0.0004407345608608","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_super","ECGFM-KED","Linear","0.802","0.802","","0.0751093010374056","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_super","HuBERT-ECG","Linear","0.877","0.877","","-0.0004137141965016","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_super","ECG-CPC","Linear","0.863","0.863","","-0.0005186256128323","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
"Table 5","ptbxl_super","ECG-FM","Linear","0.873","0.873","","0.0033569197393005","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","COMPLETED"
